空天姬预设,5.1285.1285.20250924
佐戈秃鹰,大鱼【蜻蜓】》20~！！@拍水【佐戈蝎、瀑布徨灵】=收藏品、鱼影、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注效率4500h , 0${pd:空天姬配置[界面语言]} )}//预设分级：最优化
佐戈秃鹰万能拟饵,大鱼【万能拟饵】》22~！！@拍水【佐戈蝎、瀑布徨灵】=收藏品、鱼影、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注效率高于仙人刺 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
佐戈秃鹰仙人刺拟饵,大鱼【仙人刺拟饵】》22~！！@拍水【佐戈蝎、瀑布徨灵】=收藏品、鱼影、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注效率不如万能拟饵 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
云蜂,大鱼【蜻蜓】》16~！@拍水！【佐戈之核】=收藏品、鱼影、不撒饵；//预设分级：最优化
铲鼻鲶,大鱼【嘭嘭拟饵】》13~！！@拍水【圆点刺魟】=收藏品、知识、引诱、不撒饵；//预设分级：合格的
角蛙,耐心【黄金幼虫】@0002-0200》！》12~！！=收藏品、不撒饵；//预设分级：合格的
紫舌尖,大鱼【红蛆】》23~！！@拍水【？紫舌尖】@专一【紫舌尖】=不撒饵、收藏品、引诱；//预设分级：合格的
天钢钓竿,6//预设分级：非预设
智慧珊瑚,平钓【天钢之球】》~14！@专一【智慧珊瑚】三重=40【智慧珊瑚】；不撒饵、重随；//预设分级：有效的
龙骨贝,平钓【天钢之球】》！@拍水【魔角蜗牛】@专一【龙骨贝】三重=60【龙骨贝】；不撒饵；//预设分级：有效的
梅花贝,平钓【天钢之球】》~17.1！三重@专一【梅花贝】=60【梅花贝】；不撒饵、引诱；//预设分级：有效的
亚拉戈猎手,平钓【天钢之球】》8.7~！！@拍水！！【黑鞭】@专一【亚拉戈猎手】三重=70【亚拉戈猎手】；不撒饵；//预设分级：有效的
点火鱼,耐心【天钢之球】》14~！！=60【点火鱼】；收藏、不撒饵、引诱、知识；//¤{storage:MissFisherGetTranslationByIndex( 预设备注不定收藏价值 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
褪色球球,耐心【天钢之球】》9.5~！@拍水【水剑鱼】=60【褪色球球】；收藏、不撒饵、引诱、知识；//¤{storage:MissFisherGetTranslationByIndex( 预设备注不定收藏价值 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
莫雯钓竿,12//预设分级：非预设
白金海马,耐心【卓越丸子】》~7.5！@专一【白金海马】=30【白金海马】；收藏、不撒饵；//预设分级：有效的
击木灯塔守卫,大鱼【卓越丸子】》！！=30【击木灯塔守卫】；引诱、收藏、不撒饵；//预设分级：有效的
镜中影,耐心【卓越丸子】》~7.5！@拍水【？镜中影】@专一【镜中影】=40【镜中影】；收藏、不撒饵；//预设分级：有效的
亮片巨骨舌鱼,大鱼【卓越丸子】》！！@专一【亮片巨骨舌鱼】=40【亮片巨骨舌鱼】；引诱、收藏、不撒饵；//预设分级：有效的
黄遁鱼,耐心【卓越丸子】》~7.5！@专一【黄遁鱼】=39【黄遁鱼】；收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击否则请多钓一条 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
得到宽恕的忧郁,耐心【卓越丸子】》！！@专一【得到宽恕的忧郁】=39【得到宽恕的忧郁】；引诱、收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击否则请多钓一条 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
油膜鱼,耐心【卓越丸子】》~7.5！@专一【油膜鱼】=39【油膜鱼】；收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击否则请多钓一条 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
贡萨洛蛞蝓,耐心【卓越丸子】》8~14！@专一【贡萨洛蛞蝓】=39【贡萨洛蛞蝓】；重随、收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击否则请多钓一条 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
黑木块,耐心【卓越丸子】》~8.5！！@拍水~5.5！【占位】@专一【黑木块】》！！=25【黑木块】；29【隆卡金块】；重随、收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击请自行检查材料数量 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
隆卡金块,耐心【卓越丸子】》~8.5！！@拍水~5.5！【占位】@专一【黑木块】》！！=25【黑木块】；29【隆卡金块】；重随、收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击请自行检查材料数量 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
丰饶虹鳉,耐心【卓越丸子】》~7.5！+！！@专一【丰饶虹鳉】=55【丰饶虹鳉】；14【圣法斯里克的石头脑袋】；收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击请自行检查材料数量 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
圣法斯里克的石头脑袋,耐心【卓越丸子】》~7.5！+！！@专一【丰饶虹鳉】=55【丰饶虹鳉】；14【圣法斯里克的石头脑袋】；收藏、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注原地精选可能暴击请自行检查材料数量 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
空岛预设,1//预设分级：非预设
第四期重建用的特供蓝色风暴,耐心【云冠大蚊】》~10.5！》！！！=不撒饵、引诱；//预设分级：合格的
第四期重建用的特供巨脉蜻蜓,耐心【云冠大蚊】@（灵飞电）》~10.5！》！！！=不撒饵、引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注如果在天气前启动可能会导致开耐心攒鱼计XD , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
第四期重建用的特供雕塑家,平钓【云冠大蚊】》10.5~！+！！！=不撒饵；=》鱼识@平钓【云冠气球虫】》（！！！）19~！！三提@拍水~14.5！！【第四期重建用的不死鱼】=不撒饵；=》拍水后@平钓【云冠气球虫】》（！！！）19~！！三提=引诱、不撒饵、回收；//¤{storage:MissFisherGetTranslationByIndex( 预设备注三提七条所需获得力3450 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
第四期重建用的特供红波太郎,平钓【云冠大蚊】@（灵烈火）》！！！@拍水~14！！【第四期重建用的不死鱼】=不撒饵、引诱；=》拍水后@平钓@（灵烈火）》！！！=引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注如果在天气前启动可能会导致开耐心攒鱼计XD , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
鱼眼预设,1//预设分级：非预设
鱼眼斑斓菊石螺,耐心【金属亮片】@（碧空）》！《《【古代虾】=3【古代虾】；不撒饵；=》阶段@耐心【金属亮片】@1202-1600（碧空）》！》！！！=【斑斓菊石螺】；引诱、鱼眼；《//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼雷神光,平钓【花蝇】@1802-2300》！！！精准@拍水！【硬毛蟹】=【雷神光】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼金色皮皮拉鱼,平钓【盗蟹丸】@0602-0700》~8+13.5！！！@拍水！【黄色皮皮拉鱼】=【金色皮皮拉鱼】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼圣鳟贞德,平钓【乌鸦拟饵】@0402-0600》！！！@拍水！！【暖水鳟】=【圣鳟贞德】；鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼浓盐鲀,平钓【蜜虫】@1702-2000》12+22~！@拍水~9+16.5！【斑点鲀】=【浓盐鲀】；鱼眼、引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼鱼大叔,平钓【花蝇】@1702-1830》！！！@拍水！【绿灯球藻】=【鱼大叔】；鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼断指龙虾,平钓【极地磷虾】@1732-1800》！！！@拍水！！【海岩龙虾】=【断指龙虾】；鱼眼、引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：最优化
鱼眼滑溜帝王,平钓【蝲蛄丸子】@1902-2400》！！！精准@拍水！【幽暗虾虎】=【滑溜帝王】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼公主青鳉,平钓【肥蚯蚓】@0402-0600》！！！精准@拍水！【黄铜鱼】=【公主青鳉】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼维德弗尼尔,平钓【残暴水蛭】@0802-1000》！！！@拍水！！【白丽鱼】=【维德弗尼尔】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼教皇鱼,平钓【悬浮诱饵鱼】@1202-1600》！！！@拍水！+！！【溶骨蜗牛、涅槃蟹】=【教皇鱼】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼蝴蝶夫人,耐心【土蜘蛛】@（碧空）》~6.5+11.5！《《【蝼蛄】=3【蝼蛄】；不撒饵；=》阶段@耐心【土蜘蛛】@2102-0200（碧空）》~6.5+11.5！【蝼蛄】》！！！=【蝴蝶夫人】；鱼眼；《//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼无光层巨骨舌鱼,耐心【土蜘蛛】@（阴云）》！《《【以太之眼】=3【以太之眼】；不撒饵；=》阶段@耐心【土蜘蛛】@2102-0200（阴云）》！》！！！=【无光层巨骨舌鱼】；鱼眼；《//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼暮辉鱼,耐心【肥蚯蚓】@（阴云）》！《《【嘎牙子】=3【嘎牙子】；不撒饵；=》阶段@耐心【肥蚯蚓】@0802-1600（阴云）》！》！！！=【暮辉鱼】；《//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼卜传,平钓【嗡嗡石蝇】@1202-1400》！！！精准@拍水！【武士鱼】=【卜传】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼大蛇鳗,平钓【黄油虫】@1802-1900》！！！@拍水20~！！【黑鳗】=【大蛇鳗】；引诱、鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼胸脊鲨,大鱼【蚕蛹】》~22！！《《【岩盐咸鱼】=3【岩盐咸鱼】；不撒饵、重随；=》阶段@大鱼【蚕蛹】@（雷雨）》~22！！》23~！！！双重=重随、收藏品、鱼眼、不收集、多提；《=》鱼识@耐心【蚕蛹】@1602-1800》~22！！》！！！=【胸脊鲨】；不撒饵、重随；//¤{storage:MissFisherGetTranslationByIndex( 预设备注鱼眼胸脊鲨 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼眼奸隐鱼,平钓【短嘴诱饵鱼】@2202-2400（晴朗）》！！！@拍水9.5+17.5~！！【卡利班骨头鱼】=【奸隐鱼】；鱼眼；//¤{storage:MissFisherGetTranslationByIndex( 预设备注请在符合天气条件时启动 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
鱼皇流程依赖,1//预设分级：非预设
七彩天主计数,计数 3【蓝彩鱼】；3【橙彩鱼】；5【绿彩鱼】；//预设分级：非预设
七彩天主起手,大鱼【嗡嗡石蝇】@0002-0800》！！》！三提=鱼眼、多提；//¤{storage:MissFisherGetTranslationByIndex( 预设备注七彩天主起手 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
鱼眼蓝彩鱼,大鱼【嗡嗡石蝇】@0002-0400》！！【紫彩鱼】》！三提=鱼眼、多提；//¤{storage:MissFisherGetTranslationByIndex( 预设备注鱼眼蓝橙 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
鱼眼橙彩鱼,大鱼【嗡嗡石蝇】@0402-0800》！！【红彩鱼】》！三提=鱼眼、多提；//¤{storage:MissFisherGetTranslationByIndex( 预设备注鱼眼蓝橙 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
七彩天主最终,平钓【嗡嗡石蝇】@0002-1600（碧空、晴朗）》！@拍水！！【黄彩鱼、青彩鱼、紫彩鱼】=鱼眼、不撒饵；=》鱼识@平钓》！+！！！@拍水！！【黄彩鱼、青彩鱼、紫彩鱼】=【七彩天主】；//¤{storage:MissFisherGetTranslationByIndex( 预设备注七彩天主最终 , 0${pd:空天姬配置[界面语言]} )}//预设分级：最优化
嘎儿鱼起手,耐心【青花鱼块】@（晴朗）》6.1+10.3~！》！！！》！！！=10【矛齿鲸】；引诱、套娃、不撒饵；//预设分级：有效的
嘎儿鱼三提起手,大鱼【青花鱼块】@（晴朗）》6.1+10.3~！》！！！三提》！！！三提=10【矛齿鲸】；多提、引诱、不撒饵；//预设分级：有效的
嘎儿鱼补钓自动最终,该预设已被优化，请使用【嘎儿鱼自动最终】//预设分级：有效的
嘎儿鱼自动最终,耐心【青花鱼块】@（晴朗）》6.1+10.3~！》！！！》！！！《【占位】=1【矛齿鲸】；引诱、不撒饵；=》阶段@大鱼【青花鱼块】@1355-1600（晴朗）》6.1+10.3~！》！！！》！！！=引诱；《=》鱼识@平钓【青花鱼块】@1402-1600（晴朗）》！！！@拍水~7.6+14！！【纳茹奈章鱼、萨维奈卡拉墨鱼】=【嘎儿鱼】；引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注嘎儿鱼自动最终 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
嘎儿鱼补钓收藏最终,该预设已被优化，请使用【嘎儿鱼收藏最终】//预设分级：有效的
嘎儿鱼收藏最终,耐心【青花鱼块】@（晴朗）》6.1+10.3~！》！！！双提=不收集、收藏、多提、不撒饵、引诱；=》鱼识@平钓【青花鱼块】@1402-1600（晴朗）》！！！@拍水~7.6+14！！【纳茹奈章鱼、萨维奈卡拉墨鱼】=【嘎儿鱼】；引诱；//¤{storage:MissFisherGetTranslationByIndex(  预设备注嘎儿鱼收藏最终, 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
嘎儿鱼短流程,大鱼【青花鱼块】@（晴朗）》6.1+10.3~！》！！！三提》！！！三提=10【矛齿鲸】；多提、引诱、不撒饵；=》阶段@耐心【青花鱼块】@（晴朗）》6.1+10.3~！》！！！》！！！《【占位】=1【矛齿鲸】；引诱、不撒饵；=》阶段@大鱼【青花鱼块】@1358-1600（晴朗）》6.1+10.3~！》！！！》！！！=引诱；《=》鱼识@平钓【青花鱼块】@1402-1600（晴朗）》！！！@拍水~7.6+14！！【纳茹奈章鱼、萨维奈卡拉墨鱼】=【嘎儿鱼】；引诱；《//预设分级：有效的
嘎儿鱼连续窗口方案,¤{storage:MissFisherGetTransla……//预设分级：非预设
法拉伊那,大鱼【星尘】@0002-0400》~7+13！！@拍水【三叉神海兽】》！！！=【法拉伊那】；收藏品、引诱、不撒饵；//预设分级：最优化
星鲸长流程未受生魂,大鱼【星尘】》~13！！@拍水【三叉神海兽】》17~！！双重=2【未受生魂】；引诱、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注星鲸长流程未受生魂 , 0${pd:空天姬配置[界面语言]} )}//预设分级：最优化
星鲸长流程最终,大鱼【星尘】》！！@拍水【三叉神海兽】《《【事件穹界的回归者】=1【36519】；引诱、不撒饵；=》阶段@大鱼@2357-0800》！！@拍水【三叉神海兽】《《【事件穹界的回归者】=2【36519】；引诱、不撒饵；《=》鱼识@大鱼【星尘】@2357-0800（磁暴）》~13！！@拍水【三叉神海兽】》17~！！+！！！=【星鲸】；引诱、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注星鲸长流程最终 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
星鲸短流程方案,¤{storage:MissFisherGetTransla……//预设分级：非预设
星鲸短流程起手,耐心【星尘】》！！@拍水【三叉神海兽】》17~！！=2【未受生魂】；3【36519】；引诱、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注星鲸短流程起手 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
星鲸短流程最终,大鱼【星尘】@0002-0400》~7+13！！@拍水【三叉神海兽】》！！！=引诱、不撒饵；=》鱼识@大鱼【星尘】@0002-0800（磁暴）》~7+13！！@拍水【三叉神海兽】》17~！！+！！！=【星鲸】；引诱、不撒饵；//¤{storage:MissFisherGetTranslationByIndex( 预设备注星鲸短流程最终 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
2.0,113//预设分级：非预设
涅普特龙,平钓【极地磷虾】@（小雨、暴雨）》9.5+17~！！@拍水【愿贝】@专一【小撒拉奥斯】双重=多提优先；=》鱼识@耐心【沙蚕】@（小雨、暴雨）》！》！！+！！！》！！！》！！！=【涅普特龙】；//预设分级：有效的
内角石,耐心【单环刺螠】@2002-0400（阴云、薄雾、微风）》！》！！！=【内角石】；//预设分级：合格的
波太郎,平钓【火萤】@（雷雨、打雷）》！！！@拍水~12+22！！【争斗琵琶鱼】=引诱；=》鱼识@平钓【漂浮诱饵蛙】》！！！@拍水！！【南方狗鱼】=【波太郎】；引诱；//预设分级：合格的
旋齿鲨,耐心【沙蛭】@0802-2000（热浪）》~7.5+15！！【飞沙鱼】》！！！=【旋齿鲨】；引诱；//预设分级：有效的
秀尼鱼龙,耐心【浮游虫】》~7.5+14.5！！《《【破云飞鱼】=4【破云飞鱼】；不撒饵、引诱；=》阶段@耐心【浮游虫】@（暴雪）》~7.5+14.5！！》！！！》！！！=【秀尼鱼龙】；不撒饵、引诱；《//预设分级：合格的
杀手库诺,耐心【蜜虫】@0802-1800（妖雾）》~8+15.5！》！》！！！=重随；=》鱼识@耐心【蜜虫】》~8+15.5！》！+！！》！！+！！！》！！！=【杀手库诺】；重随；//预设分级：合格的
金鳍蝶,平钓【潮虫】@0902-1400》！！！精准@拍水！【海云水母】=【金鳍蝶】；引诱；//预设分级：合格的
猛犸章鱼,大鱼【潮虫】@0902-1700》~8+12！！》！！！=【猛犸章鱼】；//预设分级：合格的
扎尔艾拉,平钓【沟鼠尾巴】@0902-1400》！！！精准@拍水！【藤皮海参、海云水母】=【扎尔艾拉】；引诱；//预设分级：合格的
无赖王,平钓【蛾蛹】@0902-1400》！！！@拍水！【鲢鱼、蝲蛄】=【无赖王】；//预设分级：合格的
隐沙鱼,平钓【蝲蛄丸子】》！！！@拍水！【公主鳟】=【隐沙鱼】；//预设分级：合格的
巨鲨,耐心【沙蚕】@（碧空、晴朗）》！@拍水【手指虾】》！！！=【巨鲨】；//预设分级：最优化
高刺鱼,平钓【下沉诱饵鱼】@0502-0800》！！！@拍水！！【拉诺西亚刺鱼】=【高刺鱼】；引诱；//预设分级：合格的
水晶刺鱼,平钓【黄油虫】@（阴云、薄雾、微风）》！！！精准@拍水！【铜鱼】=【水晶刺鱼】；引诱；//预设分级：合格的
高声鲶鱼,平钓【蛾蛹】》！！！@拍水！【蝲蛄】=【高声鲶鱼】；//预设分级：合格的
山神印,平钓【虾虎丸子】》！！！@拍水！！【莫拉比鲽鱼】=【山神印】；引诱；//预设分级：合格的
希尔德拉,平钓【单环刺螠】@（小雨）》！！！精准@拍水！【叶海龙】=【希尔德拉】；引诱；//预设分级：合格的
银君,平钓【弓角】》！！！@拍水！！【莫拉比鲽鱼、虎纹鳕】=【银君】；引诱；//预设分级：合格的
剑齿鳕,平钓【虾虎丸子】@1602-2200》！！！@拍水！！【莫拉比鲽鱼】=【剑齿鳕】；引诱；//预设分级：合格的
剪刀手雅克,平钓【虾虎丸子】@2102-0300》！！！精准@拍水！【石软蟹】=【剪刀手雅克】；引诱；//预设分级：合格的
仙后鲈,平钓【复合亮片】@（阴云、薄雾、微风）》！！！@拍水！！【仙女鲈】=【仙后鲈】；引诱；//预设分级：合格的
陨石幸存者,平钓【沟鼠尾巴】@0302-0500（阴云、薄雾、微风）》！！！@拍水！【钢盔鲎】=【陨石幸存者】；引诱；//预设分级：合格的
鱼大叔,平钓【花蝇】@1702-1830》！！！@拍水！【绿灯球藻】=【鱼大叔】；//预设分级：合格的
比阿纳可大帝,平钓【小虾肉笼】@2002-2300》！！！@拍水！！【比阿纳可鲷鱼】=【比阿纳可大帝】；引诱；//预设分级：合格的
金枪鲨,耐心【单环刺螠】@1902-2100（碧空、晴朗）》！》！！！=【金枪鲨】；引诱、不撒饵；//预设分级：合格的
轰击泡,平钓【鲱鱼丸子】@0902-1500（碧空）》~7.3+13！！！@拍水！！【气泡鱼】=【轰击泡】；引诱；//预设分级：合格的
海中老人,耐心【潮虫】@（碧空）》！！》！！》18~！！！=【海中老人】；//预设分级：合格的
浓盐鲀,平钓【蜜虫】@1702-2000》12+22~！@拍水~9+16.5！【斑点鲀】=【浓盐鲀】；引诱；//预设分级：合格的
沉溺射手,平钓【毛球拟饵】@（碧空、晴朗）》！！！@拍水！！【永恒鲤】=【沉溺射手】；引诱；//预设分级：合格的
丽舞蟹,平钓【蜜虫】@（薄雾）》！！！@拍水！！【巨鲈、盘丽鱼】=【丽舞蟹】；引诱；//预设分级：合格的
银镜鱼,耐心【摇蚊】@0902-1600（碧空、晴朗）》！》！！！精准=【银镜鱼】；//预设分级：最优化
皇金鱼,耐心【蜜虫】》！》！》！！=3【丛林鲶鱼】；=》鱼识@耐心【蜜虫】》！》！！！=【皇金鱼】；//预设分级：合格的
小珀琉喀斯,耐心【沙蚕】@（小雨、暴雨）》！》！！》！！=【小珀琉喀斯】；//预设分级：合格的
鳞脚螺,平钓【极地磷虾】@1902-0300》！！！精准@拍水！【罗敏萨鳀鱼】=【鳞脚螺】；引诱；//预设分级：合格的
拾荒鮟鱇,耐心【沙蚕】@1602-0200》！》！！+！！！》！！！=【拾荒鮟鱇】；//预设分级：合格的
海神剑,平钓【弓角】@0902-1400（碧空、晴朗）》！！！@拍水！！【海港鲱】=【海神剑】；引诱；//预设分级：合格的
孤独杀手,平钓【重铁板钩】@（强风）》！！！@拍水！！【薰衣草印鱼】=【孤独杀手】；//预设分级：合格的
翻舵手,耐心【潮虫】@0902-1500（阴云、薄雾、微风）》！【海云水母】》！！！=【翻舵手】；//预设分级：合格的
皱鳃鲨,耐心【沙蚕】@1702-0300（阴云、薄雾、微风）》！》！！》！！！》！！！=【皱鳃鲨】；//预设分级：合格的
船长圣杯,大鱼【铁板钩】@2332-0105》！》！！！=【船长圣杯】；//预设分级：合格的
空棘鱼,耐心【单环刺螠】@2202-0300（阴云、薄雾、微风）》！+！！！》！！！=【空棘鱼】；//预设分级：合格的
海巫婆,耐心【沙蚕】@1902-0200（碧空、晴朗）》！》！！》！！！=【海巫婆】；//预设分级：合格的
特拉玛豹鱼,耐心【旋转亮片】@1702-1930（阴云、薄雾）》~10+19！》！！！=【特拉玛豹鱼】；//预设分级：合格的
圣鳟贞德,平钓【乌鸦拟饵】@0402-0600》！！！@拍水！！【暖水鳟】=【圣鳟贞德】；//预设分级：合格的
尼姆蠕虫,平钓【黄油虫】@0902-2200》！！！@拍水！！【翡翠鳗】=【尼姆蠕虫】；引诱；//预设分级：合格的
温泉王,平钓【复合亮片】@1602-1845》！！！@拍水！！【骨舌鱼】=【温泉王】；//预设分级：合格的
吞雷鱼,平钓【蛀虫】@1932-0245（小雨）》！！！@拍水！！【雷纹鱼】=【吞雷鱼】；引诱；//预设分级：合格的
抽须王,大鱼【单环刺螠】@0402-0600（碧空、晴朗）》！》！！！=【抽须王】；引诱；//预设分级：合格的
招雨王,平钓【蛀虫】@1702-0200（小雪、小雨）》！！！@拍水~7.5+14！！【求雨鱼】=【招雨王】；引诱；//预设分级：合格的
酿血鱼,平钓【蝲蛄丸子】》！！！@拍水！！【白妙鲤】=【酿血鱼】；引诱；//预设分级：合格的
圣母鲤,平钓【血蚯蚓】@1502-2100》！！！@拍水！！【白妙鲤】=【圣母鲤】；引诱；//预设分级：合格的
倔强鲫鱼,平钓【乌鸦拟饵】@0902-1400（阴云、薄雾）》！！！精准@拍水！【沟鲫鱼】=【倔强鲫鱼】；引诱；//预设分级：合格的
外科医生,耐心【蛾蛹】》！》！！！=【外科医生】；//预设分级：合格的
人面鲤,平钓【黄油虫】@2102-0300（小雨）》！！！@拍水！！【三色鲤】=【人面鲤】；引诱；//预设分级：合格的
