空天姬预设,9.1475.202510110438
斑斓菊石螺,耐心【金属亮片|28634】@1202-1600（碧空|1）》！》！！！=【斑斓菊石螺|27508】；引诱；//预设分级：合格的
月面死亡蠕虫,耐心【奇美拉蠕虫|36595】@（晴朗|2）》！【紫鱼|36470】》！！！=收藏品、大尺寸、引诱、不撒饵；//预设分级：最优化
克雷拉鲤,大鱼【嘭嘭拟饵|43855】》！！@拍水【蛇头鳢|43785】=收藏品、大尺寸、鱼影、不撒饵；//预设分级：合格的
佐戈秃鹰,大鱼【蜻蜓|43857】》20~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=收藏品、大尺寸、鱼影、不撒饵；//效率4500/h，你也可以在预设名后加上仙人刺拟饵或万能拟饵来使用不同钓饵，但算上钓紫票的时间也依然是蜻蜓效率最高//预设分级：最优化
佐戈秃鹰万能拟饵,大鱼【万能拟饵|29717】》22~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=收藏品、大尺寸、鱼影、不撒饵；//效率比仙人刺高，但是即使算上灵岩之剑钓紫票的时间，也是蜻蜓效率最高//预设分级：合格的
佐戈秃鹰仙人刺拟饵,大鱼【仙人刺拟饵|43853】》22~！！@拍水【佐戈蝎|43759、瀑布徨灵|43760】=收藏品、大尺寸、鱼影、不撒饵；//效率不如万能拟饵，即使算上灵岩之剑钓紫票的时间，也是蜻蜓效率最高//预设分级：合格的
云蜂,大鱼【蜻蜓|43857】》16~！@拍水！【佐戈之核|43757】=收藏品、大尺寸、鱼影、不撒饵；//预设分级：最优化
铲鼻鲶,大鱼【嘭嘭拟饵|43855】》13~！！@拍水【圆点刺魟|43712】=收藏品、大尺寸、大鱼知识、引诱、不撒饵；//预设分级：合格的
角蛙,耐心【黄金幼虫|43849】@0002-0200》！》12~！！=收藏品、大尺寸、不撒饵；//预设分级：合格的
紫舌尖,大鱼【红蛆|43858】》23~！！@拍水【？紫舌尖|46249】@专一【紫舌尖|46249】=不撒饵、收藏品、大尺寸、引诱；//预设分级：合格的
天钢钓竿,6//预设分级：非预设
智慧珊瑚,平钓【天钢之球|30136】》~14！@专一【智慧珊瑚|29673】三重=40【智慧珊瑚|29673】；不撒饵、重随；//预设分级：有效的
龙骨贝,平钓【天钢之球|30136】》！@拍水【魔角蜗牛|12725】@专一【龙骨贝|29678】三重=60【龙骨贝|29678】；不撒饵；//预设分级：有效的
梅花贝,平钓【天钢之球|30136】》~17.1！三重@专一【梅花贝|31129】=60【梅花贝|31129】；不撒饵、引诱；//预设分级：有效的
亚拉戈猎手,平钓【天钢之球|30136】》8.7~！！@拍水！！【黑鞭|12773】@专一【亚拉戈猎手|31134】三重=70【亚拉戈猎手|31134】；不撒饵；//预设分级：有效的
点火鱼,耐心【天钢之球|30136】》14~！！=60【点火鱼|31770】；收藏品、大尺寸、不撒饵、引诱、大鱼知识；//不定收藏价值换材料可能溢出或不足//预设分级：有效的
褪色球球,耐心【天钢之球|30136】》9.5~！@拍水【水剑鱼|12791】=60【褪色球球|31771】；收藏品、大尺寸、不撒饵、引诱、大鱼知识；//不定收藏价值换材料可能溢出或不足//预设分级：有效的
莫雯钓竿,12//预设分级：非预设
白金海马,耐心【卓越丸子|38808】》~7.5！@专一【白金海马|38792】=30【白金海马|38792】；收藏品、大尺寸、不撒饵；//预设分级：有效的
击木灯塔守卫,大鱼【卓越丸子|38808】》！！=30【击木灯塔守卫|38793】；引诱、收藏品、大尺寸、不撒饵；//预设分级：有效的
镜中影,耐心【卓越丸子|38808】》~7.5！@拍水【？镜中影|38798】@专一【镜中影|38798】=40【镜中影|38798】；收藏品、大尺寸、不撒饵；//预设分级：有效的
亮片巨骨舌鱼,大鱼【卓越丸子|38808】》！！@专一【亮片巨骨舌鱼|38799】=40【亮片巨骨舌鱼|38799】；引诱、收藏品、大尺寸、不撒饵；//预设分级：有效的
黄遁鱼,耐心【卓越丸子|38808】》~7.5！@专一【黄遁鱼|39809】=39【黄遁鱼|39809】；收藏品、大尺寸、不撒饵；//原地精选可能暴击否则请多钓一条//预设分级：有效的
得到宽恕的忧郁,耐心【卓越丸子|38808】》！！@专一【得到宽恕的忧郁|39810】=39【得到宽恕的忧郁|39810】；引诱、收藏品、大尺寸、不撒饵；//原地精选可能暴击否则请多钓一条//预设分级：有效的
油膜鱼,耐心【卓越丸子|38808】》~7.5！@专一【油膜鱼|39815】=39【油膜鱼|39815】；收藏品、大尺寸、不撒饵；//原地精选可能暴击否则请多钓一条//预设分级：有效的
贡萨洛蛞蝓,耐心【卓越丸子|38808】》8~14！@专一【贡萨洛蛞蝓|39816】=39【贡萨洛蛞蝓|39816】；重随、收藏品、大尺寸、不撒饵；//原地精选可能暴击否则请多钓一条//预设分级：有效的
黑木块,耐心【卓越丸子|38808】》~8.5！！@拍水~5.5！【占位】@专一【黑木块|41298】》！！=25【黑木块|41298】；29【隆卡金块|41299】；重随、收藏品、大尺寸、不撒饵；//原地精选可能暴击请自行检查材料数量//预设分级：有效的
隆卡金块,耐心【卓越丸子|38808】》~8.5！！@拍水~5.5！【占位】@专一【黑木块|41298】》！！=25【黑木块|41298】；29【隆卡金块|41299】；重随、收藏品、大尺寸、不撒饵；//原地精选可能暴击请自行检查材料数量//预设分级：有效的
丰饶虹鳉,耐心【卓越丸子|38808】》~7.5！+！！@专一【丰饶虹鳉|41300】=55【丰饶虹鳉|41300】；14【圣法斯里克的石头脑袋|41301】；收藏品、大尺寸、不撒饵；//原地精选可能暴击请自行检查材料数量//预设分级：有效的
圣法斯里克的石头脑袋,耐心【卓越丸子|38808】》~7.5！+！！@专一【丰饶虹鳉|41300】=55【丰饶虹鳉|41300】；14【圣法斯里克的石头脑袋|41301】；收藏品、大尺寸、不撒饵；//原地精选可能暴击请自行检查材料数量//预设分级：有效的
空岛预设,1//预设分级：非预设
第四期重建用的特供蓝色风暴,耐心【云冠大蚊|30280】》~10.5！》！！！=不撒饵、引诱；//预设分级：合格的
第四期重建用的特供巨脉蜻蜓,耐心【云冠大蚊|30280】@（灵飞电|135）》~10.5！》！！！=不撒饵、引诱；//如果在天气前启动可能会导致开耐心攒鱼计XD//预设分级：合格的
第四期重建用的特供雕塑家,平钓【云冠大蚊|30280】》10.5~！+！！！=不撒饵；@鱼识=》平钓【云冠气球虫|30278】》（！！！）19~！！三提@拍水~14.5！！【第四期重建用的不死鱼|32895】=不撒饵；@拍水后=》平钓【云冠气球虫|30278】》（！！！）19~！！三提=引诱、不撒饵、回收；//三提七条所需获得力 ≥ 3450//预设分级：有效的
第四期重建用的特供红波太郎,平钓【云冠大蚊|30280】@（灵烈火|133）》！！！@拍水~14！！【第四期重建用的不死鱼|32895】=不撒饵、引诱；@拍水后=》平钓@（灵烈火|133）》！！！=引诱；//如果在天气前启动可能会导致开耐心攒鱼计XD//预设分级：有效的
鱼眼预设,1//预设分级：非预设
鱼眼斑斓菊石螺,耐心【金属亮片|28634】@（碧空|1）》！《【古代虾|27506】=3【古代虾|27506】；不撒饵；@阶段=》耐心【金属亮片|28634】@1202-1600（碧空|1）》！》！！！=【斑斓菊石螺|27508】；引诱、鱼眼；《=//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼雷神光,平钓【花蝇|2597】@1802-2300》！！！精准@拍水！【硬毛蟹|4974】=【雷神光|7920】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼金色皮皮拉鱼,平钓【盗蟹丸|27587】@0602-0700》~8+13.5！！！@拍水！【黄色皮皮拉鱼|27486】=【金色皮皮拉鱼|33324】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼圣鳟贞德,平钓【乌鸦拟饵|2614】@0402-0600》！！！@拍水！！【暖水鳟|4955】=【圣鳟贞德|7904】；鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼浓盐鲀,平钓【蜜虫|2599】@1702-2000》12+22~！@拍水~9+16.5！【斑点鲀|4983】=【浓盐鲀|7925】；鱼眼、引诱；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼鱼大叔,平钓【花蝇|2597】@1702-1830》！！！@拍水！【绿灯球藻|5544】=【鱼大叔|7902】；鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼断指龙虾,平钓【极地磷虾|2606】@1732-1800》！！！@拍水！！【海岩龙虾|4911】=【断指龙虾|7906】；鱼眼、引诱；//如有天气条件，请在符合天气条件时启动//预设分级：最优化
鱼眼滑溜帝王,平钓【蝲蛄丸子|2588】@1902-2400》！！！精准@拍水！【幽暗虾虎|4931】=【滑溜帝王|7698】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼公主青鳉,平钓【肥蚯蚓|20614】@0402-0600》！！！精准@拍水！【黄铜鱼|20125】=【公主青鳉|24213】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼维德弗尼尔,平钓【残暴水蛭|12711】@0802-1000》！！！@拍水！！【白丽鱼|12768】=【维德弗尼尔|15633】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼教皇鱼,平钓【悬浮诱饵鱼|20619】@1202-1600》！！！@拍水！+！！【溶骨蜗牛|20082、涅槃蟹|20086】=【教皇鱼|23059】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼蝴蝶夫人,耐心【土蜘蛛|12705】@（碧空|1）》~6.5+11.5！《【蝼蛄|12757】=3【蝼蛄|12757】；不撒饵；@阶段=》耐心【土蜘蛛|12705】@2102-0200（碧空|1）》~6.5+11.5！【蝼蛄|12757】》！！！=【蝴蝶夫人|16748】；鱼眼；《=//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼无光层巨骨舌鱼,耐心【土蜘蛛|12705】@（阴云|3）》！《【以太之眼|12777】=3【以太之眼|12777】；不撒饵；@阶段=》耐心【土蜘蛛|12705】@2102-0200（阴云|3）》！》！！！=【无光层巨骨舌鱼|15638】；鱼眼；《=//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼暮辉鱼,耐心【肥蚯蚓|20614】@（阴云|3）》！《【嘎牙子|20127】=3【嘎牙子|20127】；不撒饵；@阶段=》耐心【肥蚯蚓|20614】@0802-1600（阴云|3）》！》！！！=【暮辉鱼|24217】；《=//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼卜传,平钓【嗡嗡石蝇|20675】@1202-1400》！！！精准@拍水！【武士鱼|20028】=【卜传|23067】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼大蛇鳗,平钓【黄油虫|2594】@1802-1900》！！！@拍水20~！！【黑鳗|4958】=【大蛇鳗|7908】；引诱、鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼胸脊鲨,大鱼【蚕蛹|20616】》~22！！《【岩盐咸鱼|20025】=3【岩盐咸鱼|20025】；不撒饵、重随；@阶段=》大鱼【蚕蛹|20616】@（雷雨|10）》~22！！》23~！！！双重=重随、收藏品、鱼眼、不收集、多提；《=@鱼识=》耐心【蚕蛹|20616】@1602-1800》~22！！》！！！=【胸脊鲨|24992】；不撒饵、重随；//适用于0000-0800的雷雨，关掉其他插件自动确认收藏的功能，需要卡收藏品、大尺寸窗口手动在胸脊鲨窗口期到来时取消收藏。如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼眼奸隐鱼,平钓【短嘴诱饵鱼|27588】@2202-2400（晴朗|2）》！！！@拍水9.5+17.5~！！【卡利班骨头鱼|27499】=【奸隐鱼|33325】；鱼眼；//如有天气条件，请在符合天气条件时启动//预设分级：合格的
鱼皇流程依赖,1//预设分级：非预设
七彩天主计数,计数 3【蓝彩鱼|24203】；3【橙彩鱼|23056】；5【绿彩鱼|24204】；//预设分级：非预设
七彩天主起手,大鱼【嗡嗡石蝇|20675】@0002-0800》！！》！三提=鱼眼、多提；//从零开始使用，当钓满蓝彩鱼或橙彩鱼时请手动更换【鱼眼蓝彩鱼】或【鱼眼橙彩鱼】//预设分级：有效的
鱼眼蓝彩鱼,大鱼【嗡嗡石蝇|20675】@0002-0400》！！【紫彩鱼|21177】》！三提=鱼眼、多提；//蓝彩鱼和橙彩鱼都钓满时，在绿彩鱼的鱼眼窗口使用【七彩天主最终】//预设分级：有效的
鱼眼橙彩鱼,大鱼【嗡嗡石蝇|20675】@0402-0800》！！【红彩鱼|22397】》！三提=鱼眼、多提；//蓝彩鱼和橙彩鱼都钓满时，在绿彩鱼的鱼眼窗口使用【七彩天主最终】//预设分级：有效的
七彩天主最终,平钓【嗡嗡石蝇|20675】@0002-1600（碧空|1、晴朗|2）》！@拍水！！【黄彩鱼|20052、青彩鱼|20053、紫彩鱼|21177】=鱼眼、不撒饵；@鱼识=》平钓》！+！！！@拍水！！【黄彩鱼|20052、青彩鱼|20053、紫彩鱼|21177】=【七彩天主|24994】；//蓝彩鱼和橙彩鱼都钓满时，在满足绿彩鱼的天气条件时使用//预设分级：最优化
嘎儿鱼起手,耐心【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！《》！！！》！！！=10【矛齿鲸|36454】；引诱、套娃、不撒饵；//预设分级：有效的
嘎儿鱼三提起手,大鱼【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！《》！！！三提》！！！三提=10【矛齿鲸|36454】；多提、引诱、不撒饵；//预设分级：有效的
嘎儿鱼补钓自动最终,该预设已被优化，请使用【嘎儿鱼自动最终】//预设分级：有效的
嘎儿鱼自动最终,耐心【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！》！！！》！！！《【占位】=1【矛齿鲸|36454】；引诱、不撒饵；@阶段=》大鱼【青花鱼块|36593】@1355-1600（晴朗|2）》6.1+10.3~！《》！！！《》！！！=引诱；《=@鱼识=》平钓【青花鱼块|36593】@1402-1600（晴朗|2）》！！！@拍水~7.6+14！！【纳茹奈章鱼|36452、萨维奈卡拉墨鱼|36686】=【嘎儿鱼|41408】；引诱；//预期是你还缺 2 条矛齿鲸//预设分级：有效的
嘎儿鱼补钓收藏最终,该预设已被优化，请使用【嘎儿鱼收藏最终】//预设分级：有效的
嘎儿鱼收藏最终,耐心【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！》！！！双提=不收集、收藏品、多提、不撒饵、引诱；@鱼识=》平钓【青花鱼块|36593】@1402-1600（晴朗|2）》！！！@拍水~7.6+14！！【纳茹奈章鱼|36452、萨维奈卡拉墨鱼|36686】=【嘎儿鱼|41408】；引诱；//预期是你还缺 2 条矛齿鲸，关掉其他插件自动确认收藏的功能，需要卡收藏品、大尺寸窗口手动在嘎儿鱼窗口期到来时取消收藏//预设分级：有效的
嘎儿鱼短流程,大鱼【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！《》！！！三提》！！！三提=10【矛齿鲸|36454】；多提、引诱、不撒饵；@阶段=》耐心【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！》！！！》！！！《【占位】=1【矛齿鲸|36454】；引诱、不撒饵；@阶段=》大鱼【青花鱼块|36593】@1358-1600（晴朗|2）》6.1+10.3~！《》！！！《》！！！=引诱；《=@鱼识=》平钓【青花鱼块|36593】@1402-1600（晴朗|2）》！！！@拍水~7.6+14！！【纳茹奈章鱼|36452、萨维奈卡拉墨鱼|36686】=【嘎儿鱼|41408】；引诱；《=//预设分级：有效的
嘎儿鱼连续窗口方案,如果有连续的嘎儿鱼窗口，而第 1 个窗口没钓够矛齿鲸，可到其他钓场抛竿后回到「熏香海岸」重新开始起手。\\r\\n也可继续钓够起手所需的数量：更换钓点后启动起手，人工监控剩余的矛齿鲸直到总数 10 （非悬浮窗显示的数量）以完成起手（其他同主方案）//预设分级：非预设
法拉伊那,大鱼【星尘|36597】@0002-0400》~7+13！！@拍水【三叉神海兽|36508】》！！！=【法拉伊那|36521】；收藏品、大尺寸、引诱、不撒饵；//预设分级：最优化
星鲸长流程未受生魂,大鱼【星尘|36597】》~13！！@拍水【三叉神海兽|36508】》17~！！双重=2【未受生魂|36520】；引诱、不撒饵；//钓到法拉伊那后使用，完成后换钓点在星鲸前25分钟使用【星鲸长流程最终】//预设分级：最优化
星鲸长流程最终,大鱼【星尘|36597】》！！@拍水【三叉神海兽|36508】《【事件穹界的回归者|36518】=1【额外维度实体-9318|36519】；引诱、不撒饵；@阶段=》大鱼@2357-0800》！！@拍水【三叉神海兽|36508】《【事件穹界的回归者|36518】=2【额外维度实体-9318|36519】；引诱、不撒饵；《=@鱼识=》大鱼【星尘|36597】@2357-0800（磁暴|149）》~13！！@拍水【三叉神海兽|36508】》17~！！+！！！=【星鲸|41412】；引诱、不撒饵；//距离触发鱼识还需 3 条「实体」时使用这个；如果第一次鱼识结束后「仍在法拉伊那的窗口期」，你可以继续从预设【法拉伊那|36521】开始，如果钓到了法拉伊那，则【星鲸长流程未受生魂】，然后【星鲸长流程最终】//预设分级：有效的
星鲸短流程方案,星鲸短流程预设说明：在星鲸窗口期到来前（最好是提前一个小时或半小时）启动【星鲸短流程起手】来钓总计5条的2种星鲸鱼识前置（空天姬会自动计数并提醒）。在完成后，更换钓点到远离原位置几米远的地方，在星鲸窗口期到来前的第25分钟启动【星鲸短流程最终】，祝你好运！//预设分级：非预设
星鲸短流程起手,耐心【星尘|36597】》！！@拍水【三叉神海兽|36508】》17~！！=2【未受生魂|36520】；3【额外维度实体-9318|36519】；引诱、不撒饵；//星鲸到来前一个或半个小时启动，没钓到法拉伊那也可以从这个开始//预设分级：有效的
星鲸短流程最终,大鱼【星尘|36597】@0002-0400》~7+13！！@拍水【三叉神海兽|36508】》！！！=引诱、不撒饵；@鱼识=》大鱼【星尘|36597】@0002-0800（磁暴|149）》~7+13！！@拍水【三叉神海兽|36508】》17~！！+！！！=【星鲸|41412】；引诱、不撒饵；//更换钓点在星鲸到来前第25分钟启动，只缺法拉伊那也可以用。//预设分级：有效的
2.0,113//预设分级：非预设
涅普特龙,平钓【极地磷虾|2606】@（小雨|7、暴雨|8）》9.5+17~！！@拍水【愿贝|4914】@专一【小撒拉奥斯|4913】双重=多提优先；@鱼识=》耐心【沙蚕|2585】@（小雨|7、暴雨|8）》！》！！+！！！》！！！》！！！=【涅普特龙|8754】；//预设分级：有效的
内角石,耐心【单环刺螠|2596】@2002-0400（阴云|3、薄雾|4、微风|5）》！》！！！=【内角石|8756】；//预设分级：合格的
波太郎,平钓【火萤|2603】@（雷雨|10、打雷|9）》！！！@拍水~12+22！！【争斗琵琶鱼|5008】=引诱；@鱼识=》平钓【漂浮诱饵蛙|2624】》！！！@拍水！！【南方狗鱼|4996】=【波太郎|8775】；引诱；//预设分级：合格的
旋齿鲨,耐心【沙蛭|2600】@0802-2000（热浪|14）》~7.5+15！！【飞沙鱼|5035】》！！！=【旋齿鲨|8768】；引诱；//预设分级：有效的
秀尼鱼龙,耐心【浮游虫|2605】》~7.5+14.5！！《【破云飞鱼|5040】=4【破云飞鱼|5040】；不撒饵、引诱；@阶段=》耐心【浮游虫|2605】@（暴雪|16）》~7.5+14.5！！》！！！》！！！=【秀尼鱼龙|8772】；不撒饵、引诱；《=//预设分级：合格的
杀手库诺,耐心【蜜虫|2599】@0802-1800（妖雾|17）》~8+15.5！》！》！！！=重随；@鱼识=》耐心【蜜虫|2599】》~8+15.5！》！+！！》！！+！！！》！！！=【杀手库诺|8763】；重随；//预设分级：合格的
金鳍蝶,平钓【潮虫|2587】@0902-1400》！！！精准@拍水！【海云水母|4872】=【金鳍蝶|7685】；引诱；//预设分级：合格的
猛犸章鱼,大鱼【潮虫|2587】@0902-1700》~8+12！！》！！！=【猛犸章鱼|7707】；//预设分级：合格的
扎尔艾拉,平钓【沟鼠尾巴|2591】@0902-1400》！！！精准@拍水！【藤皮海参|4873、海云水母|4872】=【扎尔艾拉|7678】；引诱；//预设分级：合格的
无赖王,平钓【蛾蛹|2586】@0902-1400》！！！@拍水！【鲢鱼|4926、蝲蛄|4925】=【无赖王|7679】；//预设分级：合格的
隐沙鱼,平钓【蝲蛄丸子|2588】》！！！@拍水！【公主鳟|4930】=【隐沙鱼|7688】；//预设分级：合格的
巨鲨,耐心【沙蚕|2585】@（碧空|1、晴朗|2）》！@拍水【手指虾|4871】》！！！=【巨鲨|7686】；//预设分级：最优化
高刺鱼,平钓【下沉诱饵鱼|2617】@0502-0800》！！！@拍水！！【拉诺西亚刺鱼|4946】=【高刺鱼|7709】；引诱；//预设分级：合格的
水晶刺鱼,平钓【黄油虫|2594】@（阴云|3、薄雾|4、微风|5）》！！！精准@拍水！【铜鱼|4948】=【水晶刺鱼|7682】；引诱；//预设分级：合格的
高声鲶鱼,平钓【蛾蛹|2586】》！！！@拍水！【蝲蛄|4925】=【高声鲶鱼|7681】；//预设分级：合格的
山神印,平钓【虾虎丸子|2589】》！！！@拍水！！【莫拉比鲽鱼|4877】=【山神印|7680】；引诱；//预设分级：合格的
希尔德拉,平钓【单环刺螠|2596】@（小雨|7）》！！！精准@拍水！【叶海龙|4897】=【希尔德拉|7710】；引诱；//预设分级：合格的
银君,平钓【弓角|2628】》！！！@拍水！！【莫拉比鲽鱼|4877、虎纹鳕|4879】=【银君|7690】；引诱；//预设分级：合格的
剑齿鳕,平钓【虾虎丸子|2589】@1602-2200》！！！@拍水！！【莫拉比鲽鱼|4877】=【剑齿鳕|7691】；引诱；//预设分级：合格的
剪刀手雅克,平钓【虾虎丸子|2589】@2102-0300》！！！精准@拍水！【石软蟹|4878】=【剪刀手雅克|7712】；引诱；//预设分级：合格的
仙后鲈,平钓【复合亮片|2626】@（阴云|3、薄雾|4、微风|5）》！！！@拍水！！【仙女鲈|4943】=【仙后鲈|7697】；引诱；//预设分级：合格的
陨石幸存者,平钓【沟鼠尾巴|2591】@0302-0500（阴云|3、薄雾|4、微风|5）》！！！@拍水！【钢盔鲎|4880】=【陨石幸存者|7903】；引诱；//预设分级：合格的
鱼大叔,平钓【花蝇|2597】@1702-1830》！！！@拍水！【绿灯球藻|5544】=【鱼大叔|7902】；//预设分级：合格的
比阿纳可大帝,平钓【小虾肉笼|2613】@2002-2300》！！！@拍水！！【比阿纳可鲷鱼|4891】=【比阿纳可大帝|7909】；引诱；//预设分级：合格的
金枪鲨,耐心【单环刺螠|2596】@1902-2100（碧空|1、晴朗|2）》！》！！！=【金枪鲨|7915】；引诱、不撒饵；//预设分级：合格的
轰击泡,平钓【鲱鱼丸子|2598】@0902-1500（碧空|1）》~7.3+13！！！@拍水！！【气泡鱼|4902】=【轰击泡|7924】；引诱；//预设分级：合格的
海中老人,耐心【潮虫|2587】@（碧空|1）》！！》！！》18~！！！=【海中老人|8753】；//预设分级：合格的
浓盐鲀,平钓【蜜虫|2599】@1702-2000》12+22~！@拍水~9+16.5！【斑点鲀|4983】=【浓盐鲀|7925】；引诱；//预设分级：合格的
沉溺射手,平钓【毛球拟饵|2618】@（碧空|1、晴朗|2）》！！！@拍水！！【永恒鲤|5001】=【沉溺射手|7938】；引诱；//预设分级：合格的
丽舞蟹,平钓【蜜虫|2599】@（薄雾|4）》！！！@拍水！！【巨鲈|4981、盘丽鱼|4987】=【丽舞蟹|7939】；引诱；//预设分级：合格的
银镜鱼,耐心【摇蚊|2592】@0902-1600（碧空|1、晴朗|2）》！》！！！精准=【银镜鱼|7940】；//预设分级：最优化
皇金鱼,耐心【蜜虫|2599】》！》！》！！=3【丛林鲶鱼|5031】；@鱼识=》耐心【蜜虫|2599】》！》！！！=【皇金鱼|8752】；//预设分级：合格的
小珀琉喀斯,耐心【沙蚕|2585】@（小雨|7、暴雨|8）》！》！！》！！=【小珀琉喀斯|20143】；//预设分级：合格的
鳞脚螺,平钓【极地磷虾|2606】@1902-0300》！！！精准@拍水！【罗敏萨鳀鱼|4870】=【鳞脚螺|7687】；引诱；//预设分级：合格的
拾荒鮟鱇,耐心【沙蚕|2585】@1602-0200》！》！！+！！！》！！！=【拾荒鮟鱇|7684】；//预设分级：合格的
海神剑,平钓【弓角|2628】@0902-1400（碧空|1、晴朗|2）》！！！@拍水！！【海港鲱|4874】=【海神剑|7693】；引诱；//预设分级：合格的
孤独杀手,平钓【重铁板钩|2619】@（强风|6）》！！！@拍水！！【薰衣草印鱼|4901】=【孤独杀手|7926】；//预设分级：合格的
翻舵手,耐心【潮虫|2587】@0902-1500（阴云|3、薄雾|4、微风|5）》！【海云水母|4872】》！！！=【翻舵手|7941】；//预设分级：合格的
皱鳃鲨,耐心【沙蚕|2585】@1702-0300（阴云|3、薄雾|4、微风|5）》！》！！》！！！》！！！=【皱鳃鲨|7950】；//预设分级：合格的
船长圣杯,大鱼【铁板钩|2616】@2332-0105》！》！！！=【船长圣杯|7948】；//预设分级：合格的
空棘鱼,耐心【单环刺螠|2596】@2202-0300（阴云|3、薄雾|4、微风|5）》！+！！！》！！！=【空棘鱼|8755】；//预设分级：合格的
海巫婆,耐心【沙蚕|2585】@1902-0200（碧空|1、晴朗|2）》！》！！》！！！=【海巫婆|8757】；//预设分级：合格的
特拉玛豹鱼,耐心【旋转亮片|2620】@1702-1930（阴云|3、薄雾|4）》~10+19！》！！！=【特拉玛豹鱼|7905】；//预设分级：合格的
圣鳟贞德,平钓【乌鸦拟饵|2614】@0402-0600》！！！@拍水！！【暖水鳟|4955】=【圣鳟贞德|7904】；//预设分级：合格的
尼姆蠕虫,平钓【黄油虫|2594】@0902-2200》！！！@拍水！！【翡翠鳗|4953】=【尼姆蠕虫|7916】；引诱；//预设分级：合格的
温泉王,平钓【复合亮片|2626】@1602-1845》！！！@拍水！！【骨舌鱼|4973】=【温泉王|7927】；//预设分级：合格的
吞雷鱼,平钓【蛀虫|2601】@1932-0245（小雨|7）》！！！@拍水！！【雷纹鱼|4991】=【吞雷鱼|7937】；引诱；//预设分级：合格的
